dataset_id	gsm_id	description	filename	run_id	sra_filename	input
Deaton_2016	GSM2080325	ES_H33_0h_1	ES_H33_00h_rep1	SRR3203856	SRR3203856.sra	ES_H33_inp_rep1
Deaton_2016	GSM2080326	ES_H33_3h_1	ES_H33_03h_rep1	SRR3203857	SRR3203857.sra	ES_H33_inp_rep1
Deaton_2016	GSM2080327	ES_H33_6h_1	ES_H33_06h_rep1	SRR3203858	SRR3203858.sra	ES_H33_inp_rep1
Deaton_2016	GSM2080328	ES_H33_12h_1	ES_H33_12h_rep1	SRR3203859	SRR3203859.sra	ES_H33_inp_rep1
Deaton_2016	GSM2080329	ES_H33_inp_1	ES_H33_inp_rep1	SRR3203860	SRR3203860.sra	-
Deaton_2016	GSM2080330	ES_H33_0h_2	ES_H33_00h_rep2	SRR3203861	SRR3203861.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080331	ES_H33_3h_2	ES_H33_03h_rep2	SRR3203862	SRR3203862.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080332	ES_H33_6h_2	ES_H33_06h_rep2	SRR3203863	SRR3203863.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080333	ES_H33_12h_2	ES_H33_12h_rep2	SRR3203864	SRR3203864.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080334	ES_H33_inp_2	ES_H33_inp_rep2	SRR3203865	SRR3203865.sra	-
Deaton_2016	GSM2080335	ES_H33_0h_3	ES_H33_00h_rep3	SRR3203866	SRR3203866.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080336	ES_H33_3h_3	ES_H33_03h_rep3	SRR3203867	SRR3203867.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080337	ES_H33_6h_3	ES_H33_06h_rep3	SRR3203868	SRR3203868.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080338	ES_H33_12h_3	ES_H33_12h_rep3	SRR3203869	SRR3203869.sra	ES_H33_inp_rep2
Deaton_2016	GSM2080339	NS_H33_0h_1	NS_H33_00h_rep1	SRR3203870	SRR3203870.sra	NS_H33_inp_rep1
Deaton_2016	GSM2080340	NS_H33_3h_1	NS_H33_03h_rep1	SRR3203871	SRR3203871.sra	NS_H33_inp_rep1
Deaton_2016	GSM2080341	NS_H33_6h_1	NS_H33_06h_rep1	SRR3203872	SRR3203872.sra	NS_H33_inp_rep1
Deaton_2016	GSM2080342	NS_H33_12h_1	NS_H33_12h_rep1	SRR3203873	SRR3203873.sra	NS_H33_inp_rep1
Deaton_2016	GSM2080343	NS_H33_inp_1	NS_H33_inp_rep1	SRR3203874	SRR3203874.sra	-
Deaton_2016	GSM2080344	NS_H33_0h_2	NS_H33_00h_rep2	SRR3203875	SRR3203875.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080345	NS_H33_3h_2	NS_H33_03h_rep2	SRR3203876	SRR3203876.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080346	NS_H33_6h_2	NS_H33_06h_rep2	SRR3203877	SRR3203877.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080347	NS_H33_12h_2	NS_H33_12h_rep2	SRR3203878	SRR3203878.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080348	NS_H33_inp_2	NS_H33_inp_rep2	SRR3203879	SRR3203879.sra	-
Deaton_2016	GSM2080349	NS_H33_0h_3	NS_H33_00h_rep3	SRR3203880	SRR3203880.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080350	NS_H33_3h_3	NS_H33_03h_rep3	SRR3203881	SRR3203881.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080351	NS_H33_6h_3	NS_H33_06h_rep3	SRR3203882	SRR3203882.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080352	NS_H33_12h_3	NS_H33_12h_rep3	SRR3203883	SRR3203883.sra	NS_H33_inp_rep2
Deaton_2016	GSM2080353	ES_H33_HA	ES_H33_HA	SRR3203884	SRR3203884.sra	ES_H33_HA_inp
Deaton_2016	GSM2080354	ES_H33_HA_inp	ES_H33_HA_inp	SRR3203885	SRR3203885.sra	-
Deaton_2016	GSM2188856	ES_H31_0h_1	ES_H31_00h_rep1	SRR3633273	SRR3633273.sra	ES_H31_inp_rep1
Deaton_2016	GSM2188857	ES_H31_3h_1	ES_H31_03h_rep1	SRR3633274	SRR3633274.sra	ES_H31_inp_rep1
Deaton_2016	GSM2188858	ES_H31_6h_1	ES_H31_06h_rep1	SRR3633275	SRR3633275.sra	ES_H31_inp_rep1
Deaton_2016	GSM2188859	ES_H31_12h_1	ES_H31_12h_rep1	SRR3633276	SRR3633276.sra	ES_H31_inp_rep1
Deaton_2016	GSM2188860	ES_H31_inp_1	ES_H31_inp_rep1	SRR3633277	SRR3633277.sra	-
Deaton_2016	GSM2188861	ES_H31_0h_2	ES_H31_00h_rep2	SRR3633278	SRR3633278.sra	ES_H31_inp_rep2
Deaton_2016	GSM2188862	ES_H31_3h_2	ES_H31_03h_rep2	SRR3633279	SRR3633279.sra	ES_H31_inp_rep2
Deaton_2016	GSM2188863	ES_H31_6h_2	ES_H31_06h_rep2	SRR3633280	SRR3633280.sra	ES_H31_inp_rep2
Deaton_2016	GSM2188864	ES_H31_12h_2	ES_H31_12h_rep2	SRR3633281	SRR3633281.sra	ES_H31_inp_rep2
Deaton_2016	GSM2188865	ES_H31_inp_2	ES_H31_inp_rep2	SRR3633282	SRR3633282.sra	-
Elsasser_2015	GSM1555118	ESC_H33WT_gDNA	ESC_H33WT_gDNA	SRR2014794	SRR2014794.sra	-
Martire_2019	GSM3143855	ESC_H33WT_ATAC (ctl for H3.3 KO)	ESC_H33WT_ATAC	SRR7172402	SRR7172402.sra	-
Martire_2019	GSM3143856	ESC_H33KO_ATAC	ESC_H33KO_ATAC	SRR7172403	SRR7172403.sra	-
Martire_2019	GSM3143859	ESC_H33WT_H3K27ac_pAb (ctrl for H33 KO)	ESC_H33WT_H3K27ac_pAb	SRR7172874	SRR7172874.sra	-
Martire_2019	GSM3143860	ESC_H33KO_H3K27ac_pAb	ESC_H33KO_H3K27ac_pAb	SRR7172875	SRR7172875.sra	-
Martire_2019	GSM3143869	ESC_H33WT_H3K64ac (ctrl for H33 KO)	ESC_H33WT_H3K64ac	SRR7172884	SRR7172884.sra	-
Martire_2019	GSM3143870	ESC_H33KO_H3K64ac	ESC_H33KO_H3K64ac	SRR7172885	SRR7172885.sra	-
Martire_2019	GSM3143871	ESC_H33WT_H3K122ac (ctrl for H33 KO)	ESC_H33WT_H3K122ac	SRR7172886	SRR7172886.sra	-
Martire_2019	GSM3143872	ESC_H33KO_H3K122ac	ESC_H33KO_H3K122ac	SRR7172887	SRR7172887.sra	-
Martire_2019	GSM3507408	ESC_H33WT_H3K18ac (ctrl for H33 KO)	ESC_H33WT_H3K18ac	SRR8310849	SRR8310849.sra	-
Martire_2019	GSM3507409	ESC_H33KO_H3K18ac	ESC_H33KO_H3K18ac	SRR8310850	SRR8310850.sra	-
Shi_2019	GSM3517479	ESC1_WT_H3K9me3_ChIP	ESC1_WT_H3K9me3	SRR8329318	SRR8329318.sra	ESC_INPUT_H3K9me3
Shi_2019	GSM3517480	ESC2_WT_H3K9me3_ChIP	ESC2_WT_H3K9me3	SRR8329319	SRR8329319.sra	ESC_INPUT_H3K9me3
Shi_2019	GSM3517481	ESC3_WT_H3K9me3_ChIP	ESC3_WT_H3K9me3	SRR8329320	SRR8329320.sra	ESC_INPUT_H3K9me3
Shi_2019	GSM3517482	ESC_INPUT_H3K9me3_ChIP	ESC_INPUT_H3K9me3	SRR8329321	SRR8329321.sra	-
Shi_2019	GSM3517483	ESC1_KO_H3K9me3_ChIP	ESC1_KO_H3K9me3	SRR8329322	SRR8329322.sra	-
Shi_2019	GSM3517484	ESC2_KO_H3K9me3_ChIP	ESC2_KO_H3K9me3	SRR8329323	SRR8329323.sra	-
